7,7	240
8,4,4	360
4,7	300
1,11,4	240
3	180
8,8	180
7,4,7	300
11,7,4	180
9,4	240
11	180
4,9	180
4,4	180
1,4,9,10	300
4,7	240
7	180
1	180
4,8,7,4	360
4,4	240
4	180
7,7,8,8	420
4,7,7	300
7,4,4,4	480
11,7	180
10	180
7,11,1,11	300
7,4,4	420
8,4,4	240
3	180
7,6,1	360
7,7,4	300
4,4,4	360
7,7	180
2,6	180
8,6,7	360
4,4	180
7,8,10,7	240
11,1,4	180
4,4	300
7,4,7	360
7,4,4,11	420
10,7,1,4	420
8,4	180
4,2	180
2,7,4,1	360
11	180
4	180
7,1,1	300
4	180
1,4,1,4	360
7	180
7	180
7,4,1,4	240
4,4	300
7,1,7	300
7,7	180
1,7	180
1,3,4	360
4,6,1	360
4	180
4,4,11,3	480
4,8,4,11	300
10,7,8	300
1,7	180
9,5	180
1,1,4,4	600
7,7	180
7,8,6,7	480
7,7,7,7	420
1,4	300
4	180
4	180
10	180
1	180
4,3,4	360
10,4,1	360
7,7	240
6	180
8	180
4,7,4	360
1,1	180
8,4	240
1	180
4,4,9	480
4,4	240
1,7,1	300
4,4	300
1,1,1	240
7,6,7	300
4,8,1,4	600
7,11,7	300
4,4,4,11	300
7,7,4,7	480
7,4,4,4	420
7,10,11,5	240
1,7	180
7,7,7	360
1,4,1	240
1,7,7	180
7,7,11,3	300
10,4,7,8	300
7,7	180
4	180
7,7	180
1,7,4,11	240
8,7,7	240
8,7	300
4,4,7,4	360
4,7	240
8,1,4,4	360
4,7,4,4	420
1,3,7,4	360
7,5,4,1	360
7,7,4	300
11,2	180
7,3,8	240
1,8,8,4	480
1,7	300
6,7	300
7,1,4,4	240
4	180
10,4	240
3,1,4	300
4	180
4,4,4,4	360
7,1,7	360
7	180
4	180
7,7,4,1	360
7	180
6,8,4	240
8,4	300
4	180
4,4	300
4,7	240
4	180
4	180
7,4,4,4	360
4,8,4	240
4,4,1,4	360
4,4,1,7	420
4,11,3	180
4,1,4	240
5,7,10	240
4,1,4	240
7,8,1	300
5	180
4	180
4,7,1,2	300
8,11,8,2	240
4,4	180
11,7,1,7	420
7,8,7	300
7,6,1,4	420
4,4,7,7	480
9,4,8	300
4	180
4,7,4,7	480
1,7,7,4	480
2,7,6	420
7	180
4,7,7,4	480
7	180
1,7	240
7,4,5,4	420
4,7,4,8	420
11,5,7	180
7	180
7,4	240
11	180
4,10,7	360
4,1,1,7	360
4,7,11,3	360
4	180
6,4,4	360
1,4,7,4	480
1,7,4	240
7,4	240
1,7,7	240
4,8,7,2	360
6,7,4,7	540
7,11,6,8	360
7,2,10,7	300
4,4,5	240
4,1,1,1	480
7,7,8,1	420
4,5	180
7	180
2,1,2	240
7,9	240
7	180
6	180
4,7	300
4,4,1	240
7,8,4	360
8,4	180
4,7,6	360
7	180
4	180
9,7	240
7	180
4,4	180
7,1	180
4,7	240
4,8,7,4	360
6,4,7,7	360
1,4	180
7,1,7,9	420
1	180
7,3	180
4,1	180
10,1	180
4	180
4,7,1	300
4	180
8,4	240
4,1,1,1	420
7	180
4,1,4,4	480
1	180
3,7,4,7	480
4	180
10,4	180
7,7	240
4,2,7	240
7	180
7	180
11,1	180
1,4,1	360
2	180
4,8,2	360
3	180
7	180
1,4,4	420
7,4	180
4,4	180
4,4	300
1,7,4	300
11,7,1,7	240
4,4,7,7	600
